"title","artist","album","source_count","sources"
"Shiko","Gehlektek, TakaTuka","Acid Pirate 13","3","Liked Songs; Jawoll junge; Tekk"
"Rushing Russian","Gehlektek","GehLekComp pt.1","2","Liked Songs; Tekk"
"All Mad Here","Neurotribe","Mysteries 7","2","Tekk"
"Nevrotique","Neurotribe","Nevrotique","2","Tekk"
"Skizzo Acid","Neurotribe","Acid Pirate HS01","2","Liked Songs; Tekk"
"I'll Bifle Back","Shmirlap, Mikro","I'll Bifle Back","2","Tekk"
"Night Warriors","Tekno Noise, Berio, Bery","Night Warriors","2","Liked Songs; Tekk"
"Apocalisse","Tekno Noise, USER_D","DARKNESS LEGACY","2","Liked Songs; Tekk"
"Earthquake","Teksa","Tekno Trip 04","2","Tekk"
"Haunted Forest","Teksa","Tekno Trip 04","2","Tekk"
"Sabotage System","Teksa","Space Travel","2","Liked Songs; Tekk"
"WD40","Teksa","Mental Core 03","2","Tekk"
"Don't wanna go to this party","Vortek's","Acid Pirate 17","2","Tekk"
"Free Spirit","Vortek's","Acid Pirate 01","2","Tekk"
"Injection Acid","Vortek's","Acid Pirate 14","2","Tekk"
"Medusa","Vortek's","Acid Pirate 16","2","Tekk"
"Secret Services","Vortek's","Secret Services","2","Tekk"
"ARMAGEDDON","93sovage","NOIZER MIXTAPE 2","1","Tekk"
"DOT","93sovage","Noizer Mixtape","1","Tekk"
"Drunkards","93sovage","ZU Faul EP","1","Tekk"
"Dusk Till Dawn","93sovage","Marxh 3rd","1","Tekk"
"FALLOUT","93sovage","NOIZER MIXTAPE 2","1","Tekk"
"GWOPIE","93sovage","NOIZER MIXTAPE 2","1","Tekk"
"Hips Fracture","93sovage","Noizer Mixtape","1","Tekk"
"HONCHO","93sovage","NOIZER MIXTAPE 2","1","Tekk"
"LA RIDE SOVAGE","93sovage","NOIZER MIXTAPE 2","1","Tekk"
"Last Friday Night","93sovage","Noizer Mixtape","1","Tekk"
"Living and Dealing With Hate","93sovage","Living and Dealing With Hate","1","Tekk"
"LOWDOWN","93sovage","NOIZER MIXTAPE 2","1","Tekk"
"Megadeff","93sovage","Noizer Mixtape","1","Tekk"
"NOISE RHYTHM","93sovage","NOIZER MIXTAPE 2","1","Tekk"
"Ogod","93sovage","Marxh 3rd","1","Tekk"
"Oppression","93sovage","Exercise of Authority","1","Tekk"
"RAVEZEBI","93sovage","NOIZER MIXTAPE 2","1","Tekk"
"SEE Into the Trees","93sovage","ZU Faul EP","1","Tekk"
"TROMBETTA DEI MORTI","93sovage","NOIZER MIXTAPE 2","1","Tekk"
"Xr2c","93sovage","Noizer Mixtape","1","Tekk"
"ZU Faul","93sovage","ZU Faul EP","1","Tekk"
"Indian Road","AiR G","Tekno Trip 07","1","Tekk"
"Tekno Addict","AstroZ","Acid Pirate 04","1","Tekk"
"Up Formula","Binary Asymmetrix","Tekno Trip 08","1","Tekk"
"Musiques Interdites","DTKS, Ipernezik","Tekno Trip 07","1","Tekk"
"Real Underground","Fasotek","Tekno Trip 03","1","Tekk"
"Arrival","Gehlektek","GehLekComp pt.2","1","Tekk"
"BephOSphere","Gehlektek","GehLekComp pt.3","1","Tekk"
"Bienenstich","Gehlektek","GehLekComp pt.2","1","Tekk"
"Buzz","Gehlektek","GehLekComp pt.2","1","Tekk"
"Contact","Gehlektek","GehLekComp pt.1","1","Tekk"
"Curious Relief","Gehlektek","GehLekComp pt.2","1","Tekk"
"Dance Of The Forest Spirits","Gehlektek","GehLekComp pt.3","1","Tekk"
"Decay","Gehlektek","ADSR","1","Tekk"
"Dissolve","Gehlektek","GehLekComp pt.2","1","Tekk"
"Echolocate","Gehlektek","GehLekComp pt.2","1","Tekk"
"Engagement Based Rabbit Hole","Gehlektek","GehLekComp pt.1","1","Tekk"
"Fata Morgana","Gehlektek","GehLekComp pt.3","1","Tekk"
"Gehenna","Gehlektek","Acid Pirate 14","1","Tekk"
