"title","artist","album","source_count","sources"
"Tunnel Vision","Flawed Mangoes","Tunnel Vision","6","Liked Songs; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia; Flaw"
"#3","Aphex Twin","Selected Ambient Works Volume II","5","Liked Songs; GoDayumn; ABT"
"#19","Aphex Twin","Selected Ambient Works Volume II (Expanded Edition)","4","Liked Songs; GoDayumn"
"Xtal","Aphex Twin","Selected Ambient Works 85-92","4","Liked Songs; GoDayumn; Jawoll junge; ABT"
"Riff 2","Flawed Mangoes","Killswitch Melodies","4","Liked Songs; Flaw; Calm Midwest"
"#1","Aphex Twin","Selected Ambient Works Volume II","3","Liked Songs; GoDayumn; Lowercase"
"Ageispolis","Aphex Twin","Selected Ambient Works 85-92","3","Liked Songs; GoDayumn; ABT"
"Hedphelym","Aphex Twin","Selected Ambient Works 85-92","3","Liked Songs; GoDayumn; Jawoll junge"
"Heliosphan","Aphex Twin","Selected Ambient Works 85-92","3","Liked Songs; GoDayumn; ABT"
"I","Aphex Twin","Selected Ambient Works 85-92","3","Liked Songs; GoDayumn; ABT"
"Absolution","Flawed Mangoes","Anomaly I","3","Liked Songs; GoDayumn; Flaw"
"Killswitch Lullaby","Flawed Mangoes","Killswitch Lullaby","3","Liked Songs; Flaw"
"Obsession","Flawed Mangoes","Sunday Scaries","3","Liked Songs; Flaw"
"Swimming","Flawed Mangoes","Swimming","3","Liked Songs; Flaw; Na ja.."
"The Beginning","Flawed Mangoes","Killswitch Melodies","3","Flaw"
"snowfall","Øneheart, reidenshi","snowfall","3","Liked Songs; m's top tracks; Na ja.."
"#13","Aphex Twin","Selected Ambient Works Volume II","2","GoDayumn; ABT"
"#20","Aphex Twin","Selected Ambient Works Volume II","2","GoDayumn; ABT"
"Actium","Aphex Twin","Selected Ambient Works 85-92","2","Liked Songs; GoDayumn"
"Delphium","Aphex Twin","Selected Ambient Works 85-92","2","Liked Songs; GoDayumn"
"Pulsewidth","Aphex Twin","Selected Ambient Works 85-92","2","Liked Songs; GoDayumn"
"Schottkey 7th Path","Aphex Twin","Selected Ambient Works 85-92","2","Liked Songs; GoDayumn"
"Tha","Aphex Twin","Selected Ambient Works 85-92","2","Liked Songs; GoDayumn"
"We Are the Music Makers","Aphex Twin","Selected Ambient Works 85-92","2","Liked Songs; GoDayumn"
"An Ending (Ascent) - Remastered 2005","Brian Eno","Apollo","2","Liked Songs; GoDayumn"
"She Will Destroy You","Cocteau Twins, Harold Budd","The Moon and the Melodies","2","Liked Songs; fuck.."
"Birdsong","Flawed Mangoes","Killswitch Melodies","2","Flaw"
"Missing Pieces","Flawed Mangoes","The Unwavering Hand","2","Liked Songs; Flaw"
"Sleepwalking","Flawed Mangoes","Sleepwalking","2","Liked Songs; Flaw"
"An Arc Of Doves - Remastered 2004","Harold Budd, Brian Eno","Ambient 2: The Plateaux Of Mirror (Remastered 2004)","2","Liked Songs; GoDayumn"
"this feeling","Øneheart","this feeling","2","Liked Songs; Na ja.."
"rain inside","Øneheart, Antent","rain inside","2","Liked Songs; Na ja.."
"Duality","Slipknot","Vol. 3: The Subliminal Verses (Special Edition)","2","Liked Songs; Rockin n rollin"
"braincells","tomcbumpz","comfortable silence","2","Liked Songs; GoDayumn"
"into the night sky","tomcbumpz","the warmth of a thousand flames","2","Liked Songs; GoDayumn"
"not hungry","tomcbumpz","BAD LISTENER","2","Liked Songs; GoDayumn"
"spawn","tomcbumpz","don't look down","2","Liked Songs; GoDayumn"
"staring contest","tomcbumpz","don't look down","2","Liked Songs; GoDayumn"
"#17","Aphex Twin","Selected Ambient Works Volume II","1","GoDayumn"
"Green Calx","Aphex Twin","Selected Ambient Works 85-92","1","GoDayumn"
"Ptolemy","Aphex Twin","Selected Ambient Works 85-92","1","GoDayumn"
"Always Returning - Remastered 2005","Brian Eno","Apollo","1","GoDayumn"
"Signals - Remastered 2005","Brian Eno","Apollo","1","GoDayumn"
"Aria Math","C418","Minecraft - Volume Beta","1","Liked Songs"
"Mice on Venus","C418","Minecraft - Volume Alpha","1","Liked Songs"
"Moog City 2","C418","Minecraft - Volume Beta","1","Liked Songs"
"Mutation","C418","Minecraft - Volume Beta","1","Liked Songs"
"Ward","C418","Minecraft - Volume Beta","1","Liked Songs"
"Warmth","C418","Minecraft - Volume Beta","1","Liked Songs"
"Why Do You Love Me? - 2024 Remaster","Cocteau Twins, Harold Budd","The Moon and the Melodies (2024 Remaster)","1","Liked Songs"
"Addicted","Flawed Mangoes","Anomaly II","1","Flaw"
"Circle of Death","Flawed Mangoes","Anomaly II","1","Flaw"
"Cold","Flawed Mangoes","Cold","1","Flaw"
"Cold - Acoustic","Flawed Mangoes","Cold (Acoustic)","1","Flaw"
"Dawn Chorus","Flawed Mangoes","Anomaly II","1","Flaw"
"Dramamine","Flawed Mangoes","Dramamine / Fragility","1","Flaw"
"Event Horizon","Flawed Mangoes","Killswitch Melodies","1","Flaw"
"Fragility","Flawed Mangoes","Dramamine / Fragility","1","Flaw"
"Immaterial","Flawed Mangoes","Killswitch Melodies","1","Flaw"
"Melody From A Dream","Flawed Mangoes","Killswitch Melodies","1","Flaw"
"Mindgame","Flawed Mangoes","The Unwavering Hand","1","Flaw"
"mk4","Flawed Mangoes","Anomaly II","1","Flaw"
"Pattern Recognition","Flawed Mangoes","Killswitch Melodies","1","Flaw"
"Run On Sentence","Flawed Mangoes","Killswitch Melodies","1","Flaw"
"Run On Sentence - Acoustic","Flawed Mangoes","Run On Sentence (Acoustic)","1","Flaw"
