"title","artist","album","source_count","sources"
"You Were Right","RÜFÜS DU SOL","Bloom","7","Liked Songs; Holy house; Qwe; Chillout; Turn it up"
"Delilah (pull me out of this)","Fred again.., Delilah Montagu","Delilah (pull me out of this)","6","Liked Songs; Holy house; Qwe; Chillout"
"Innerbloom","RÜFÜS DU SOL","Bloom","6","Liked Songs; Holy house; Chillout; Turn it up"
"Anchor Point","Ahmed Spins, Stevo Atambire","Anchor Point EP","5","Liked Songs; Holy house; Qwe; Chillout; Turn it up"
"Osama","Zakes Bantwini, Kasango","Osama","5","Liked Songs; Holy house; Qwe; Chillout; Turn it up"
"Dermot (see yourself in my eyes)","Fred again.., Dermot Kennedy","Actual Life (April 14 - December 17 2020)","4","Liked Songs; Holy house; Chillout; Tunes"
"Les Gout","Rampa, chuala, Keinemusik","Les Gout","4","Liked Songs; Qwe; Chillout; Turn it up"
"Sundream","RÜFÜS DU SOL","Atlas (Light / Dark Deluxe Edition)","4","Liked Songs; Holy house"
"Treat You Better","RÜFÜS DU SOL","SOLACE","4","Liked Songs; Holy house; Chillout; Turn it up"
"jazz is for ordinary people","berlioz","jazz is for ordinary people","3","Liked Songs; !BERLIOZ!"
"joycelyn's dance","berlioz","something will happen","3","Liked Songs; !BERLIOZ!"
"something will happen","berlioz","something will happen","3","Liked Songs; !BERLIOZ!"
"deep in it","berlioz, Ted Jasper","deep in it","3","Liked Songs; !BERLIOZ!"
"miro","berlioz, Ted Jasper","miro","3","Liked Songs; Holy house; !BERLIOZ!"
"nyc in 1940","berlioz, Ted Jasper","nyc in 1940","3","Liked Songs; !BERLIOZ!; Chillout"
"Kyle (i found you)","Fred again..","Actual Life (April 14 - December 17 2020)","3","Liked Songs; Holy house; Chillout"
"Danielle (smile on my face)","Fred again.., 070 Shake","Actual Life 3 (January 1 - September 9 2022)","3","Holy house; Qwe; Chillout"
"ten","Fred again.., Jozzy","ten","3","Liked Songs; Holy house; Chillout"
"Marea (we’ve lost dancing)","Fred again.., The Blessed Madonna","Marea (we’ve lost dancing)","3","Liked Songs; Holy house; Chillout"
"Underwater","RÜFÜS DU SOL","SOLACE","3","Liked Songs; Holy house; Chillout"
"Love Line (with Tinashe) - HUGEL Remix","Shift K3Y, Tinashe, HUGEL","Love Line (with Tinashe) [HUGEL Remix]","3","Liked Songs; Chillout; Turn it up"
"Discoteca","&ME, Rampa, Adam Port, Keinemusik, Sofie Royer","Send Return","2","Chillout; Turn it up"
"Reborn","Arodes, Moojo","Healing EP","2","Chillout; Turn it up"
"hot house","berlioz","jazz is for ordinary people","2","Liked Songs; !BERLIOZ!"
"ode to rahsaan","berlioz","ode to rahsaan","2","!BERLIOZ!"
"r&r","berlioz","jazz is for ordinary people","2","Liked Songs; !BERLIOZ!"
"wash my sins away","berlioz","jazz is for ordinary people","2","Liked Songs; !BERLIOZ!"
"la danse","berlioz, Ted Jasper","la danse","2","Liked Songs; !BERLIOZ!"
"Billie (loving arms)","Fred again..","Actual Life 2 (February 2 - October 15 2021)","2","Holy house; Chillout"
"Faisal (envelops me)","Fred again..","Actual Life 2 (February 2 - October 15 2021)","2","Liked Songs; Holy house"
"leavemealone","Fred again.., Baby Keem","leavemealone","2","Liked Songs; Holy house"
"adore u","Fred again.., Obongjayar","adore u","2","Liked Songs; Holy house"
"Lights Out","Fred again.., Romy, HAAi","USB","2","Liked Songs; Holy house"
"Turn On The Lights again.. (feat. Future)","Fred again.., Swedish House Mafia, Future","USB","2","Liked Songs; Chillout"
"Bleu (better with time)","Fred again.., Yung Bleu","Actual Life 3 (January 1 - September 9 2022)","2","Qwe; Chillout"
"Can't Love Myself (feat. Mishaal & LPW)","HUGEL, Mishaal Tamer, LPW","Can't Love Myself (feat. Mishaal & LPW)","2","Chillout; Turn it up"
"Desperado feat. Eribertho Cruzado - Vocal Mix Edit","Moojo, Demayä, ARKADYAN, Eribertho Cruz Collazo","Desperado","2","Chillout; Turn it up"
"On My Knees","RÜFÜS DU SOL","Surrender","2","Liked Songs; Holy house"
"The Rapture Pt.III","&ME, Black Coffee, Keinemusik","The Rapture Pt.III","1","Afro house dump"
"Before The Flood - Ankhoï Remix","&ME, Rampa, Adam Port, Keinemusik, Cubicolor, Ankhoï","Send Return Remixes Pt. 3","1","Afro house dump"
"The Dream (feat. Martina Camargo)","Adam Port, Theus Mago, Keinemusik, Martina Camargo","The Dream (feat. Martina Camargo)","1","Afro house dump"
"Waves & Wavs","Ahmed Spins, Lizwi","Anchor Point EP","1","Chillout"
"ascension","berlioz","open this wall","1","!BERLIOZ!"
"free fall","berlioz","open this wall","1","!BERLIOZ!"
"hot slow","berlioz","open this wall","1","!BERLIOZ!"
"indigo dream","berlioz","open this wall","1","!BERLIOZ!"
"nytmp","berlioz","open this wall","1","!BERLIOZ!"
"open this wall","berlioz","open this wall","1","!BERLIOZ!"
"outro","berlioz","open this wall","1","!BERLIOZ!"
"peace","berlioz","open this wall","1","!BERLIOZ!"
"Kong","Bonobo","Black Sands","1","Liked Songs"
"Stay High (VIP) [feat. Julia Church]","Diplo, HUGEL, Julia Church","Stay High (feat. Julia Church)","1","Afro house dump"
"Bleu (better with time)","Fred again..","Bleu (better with time)","1","Chillout"
"Danielle (smile on my face)","Fred again..","Danielle (smile on my face)","1","Chillout"
"Hannah (the sun)","Fred again..","Actual Life 2 (February 2 - October 15 2021)","1","Holy house"
"Tanya (maybe life)","Fred again..","Actual Life 2 (February 2 - October 15 2021)","1","Chillout"
"Clara (the night is dark)","Fred again.., Clara Ward","Actual Life 3 (January 1 - September 9 2022)","1","Holy house"
"Kammy (like i do)","Fred again.., kamille","Actual Life 3 (January 1 - September 9 2022)","1","Chillout"
"It's Not Right - Moojo Remix","Gianni Romano, Emanuele Esposito, Helen Tesfazghi, Moojo","It’s Not Right (Moojo Remix)","1","Afro house dump"
"Aguila ft. Cumbiafrica","HUGEL, Westend, Cumbiafrica","Aguila ft. Cumbiafrica","1","Chillout"
"Intimidated (feat. H.E.R.)","KAYTRANADA, H.E.R.","Intimidated","1","Chillout"
"Asanda","Kususa, Argento Dust, Zakes Bantwini","Asanda","1","Chillout"
"No Time - RÜFÜS DU SOL Remix","Lastlings, RÜFÜS DU SOL","No Time (RÜFÜS DU SOL Remix)","1","Chillout"
"More Love - Rampa &ME Remix","Moderat, Keinemusik, Rampa, &ME","More Love (Rampa &ME Remix)","1","Afro house dump"
"Hate It Or Love It","Moojo, Bun Xapa","Hate It Or Love It","1","Afro house dump"
"Toujours VIF","Moojo, Bun Xapa","Hate It Or Love It","1","Afro house dump"
"NGWINO","Moojo, Caiiro, Starving Yet Full","NGWINO","1","Afro house dump"
"Secret ID","Moojo, Da Capo","Secret ID","1","Afro house dump"
"Lotus","Moojo, Demayä","Lotus","1","Afro house dump"
"Moth To A Flame (with The Weeknd, Moojo) - Moojo Remix","Swedish House Mafia, The Weeknd, Moojo","Moth To A Flame (Moojo Remix)","1","Afro house dump"
"Abantu - Da Africa Deep Remix","Zakes Bantwini, Karyendasoul, Da Africa Deep, Nana Atta","Abantu (Da Africa Deep Remix)","1","Afro house dump"
