"title","artist","album","source_count","sources"
"Seigfried","Frank Ocean","Blonde","9","Liked Songs; frank and chill; (:); YO; Tralalelo Tralala; waves type playlist; Frank Montell; Tunes; Na ja.."
"Ivy","Frank Ocean","Blonde","8","Liked Songs; frank and chill; Tralalelo Tralala; Fashion killa; waves type playlist; Frank Montell; m's top tracks; Tunes"
"Self Control","Frank Ocean","Blonde","8","Liked Songs; frank and chill; Tralalelo Tralala; waves type playlist; Frank Montell; m's top tracks; Tunes; Na ja.."
"White Ferrari","Frank Ocean","Blonde","8","Liked Songs; frank and chill; Tralalelo Tralala; waves type playlist; Frank Montell; m's top tracks; Tunes; Na ja.."
"Godspeed","Frank Ocean","Blonde","7","Liked Songs; frank and chill; Tralalelo Tralala; waves type playlist; m's top tracks; Tunes; Na ja.."
"Moon River","Frank Ocean","Moon River","7","Liked Songs; frank and chill; Tralalelo Tralala; waves type playlist; Frank Montell; m's top tracks; Na ja.."
"Nights","Frank Ocean","Blonde","7","Liked Songs; frank and chill; (:); Tralalelo Tralala; waves type playlist; Frank Montell; Tunes"
"Talk 2 Me","Montell Fish","JAMIE","7","Liked Songs; Frank Montell; Na ja..; Montell"
"Chanel","Frank Ocean","Chanel","6","Liked Songs; frank and chill; Tralalelo Tralala; springspringspring; Frank Montell; Tunes"
"Crack Rock","Frank Ocean","channel ORANGE","6","Liked Songs; frank and chill; Tralalelo Tralala; Frank Montell; Tunes"
"Lost","Frank Ocean","channel ORANGE (Explicit Version)","6","Liked Songs; frank and chill; Fl; Tralalelo Tralala; Frank Montell"
"Nikes","Frank Ocean","Blonde","6","Liked Songs; frank and chill; Tralalelo Tralala; waves type playlist; Frank Montell; m's top tracks"
"Novacane","Frank Ocean","Novacane","6","frank and chill; Tralalelo Tralala; Frank Ocean - nostalgia, ULTRA; Frank Montell; Tunes"
"Pyramids","Frank Ocean","channel ORANGE","6","Liked Songs; frank and chill; Tralalelo Tralala; Frank Montell; Tunes"
"Sweet Life","Frank Ocean","channel ORANGE","6","Liked Songs; frank and chill; Tralalelo Tralala; Frank Montell; Tunes"
"Destroy Myself Just For You","Montell Fish","Destroy Myself Just For You","6","Liked Songs; Frank Montell; Na ja..; Montell"
"Hotel","Montell Fish","Her Love Still Haunts Me Like a Ghost","6","Liked Songs; Frank Montell; Na ja..; Montell"
"swim good","frank ocean","nostalgia/ultra","5","frank and chill; Tralalelo Tralala; Frank Ocean - nostalgia, ULTRA; na klar"
