"title","artist","album","source_count","sources"
"Need 2","Pinegrove","Everything So Far","9","Liked Songs; Midwest; Bbbnnnllö; YO; waves type playlist; Г; Calm Midwest; …; Na ja.."
"Sarah","Alex G","Trick","7","Liked Songs; Bbbnnnllö; YO; Г; Calm Midwest; Na ja.."
"16 Mirrors","Alex G","Trick","6","Liked Songs; Calm Midwest; Na ja.."
"Gnaw","Alex G","Race","5","Liked Songs; Midwest; Г; Ґems; Na ja.."
"Up Song - Live at Bush Hall","Black Country, New Road","Live at Bush Hall","5","Liked Songs; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia; Г"
"Nervous Young Inhumans","Car Seat Headrest","Twin Fantasy","5","Liked Songs; Г; fuck..; m's top tracks; Na ja.."
"Sober to Death","Car Seat Headrest","Twin Fantasy","5","Liked Songs; Г; fuck..; m's top tracks; Na ja.."
"Gold Dust","Duster","Stratosphere","5","Liked Songs; Г; fuck..; Calm Midwest; Na ja.."
"(dream)","salvia palth","melanchole","5","Liked Songs; Bbbnnnllö; YO; Na ja.."
"Advice","Alex G","Trick","4","Liked Songs; Midwest; Г; Calm Midwest"
"Forever","Alex G","Trick","4","Liked Songs; Bbbnnnllö; YO; fuck.."
"Mary","Alex G","Trick","4","Liked Songs; fuck..; Calm Midwest; Na ja.."
"Beach Life-In-Death","Car Seat Headrest","Twin Fantasy","4","Liked Songs; Г; fuck..; m's top tracks"
"Drunk Drivers/Killer Whales","Car Seat Headrest","Teens Of Denial","4","Liked Songs; fuck..; m's top tracks; Tunes"
"Become the Warm Jets","Current Joys","A Different Age","4","Liked Songs; Calm Midwest; Na ja.."
"Me and the Birds","Duster","Contemporary Movement","4","Liked Songs; Calm Midwest; …; Na ja.."
"Angelina","Pinegrove","Everything So Far","4","Liked Songs; Bbbnnnllö; Г; …"
"Pretend","alex g online","High","3","Liked Songs; Г; Na ja.."
"The Place Where He Inserted the Blade","Black Country, New Road","Ants From Up There","3","Bbbnnnllö; YO; Г"
"Cute Thing","Car Seat Headrest","Twin Fantasy","3","Liked Songs; Midwest; fuck.."
"Famous Prophets (Stars)","Car Seat Headrest","Twin Fantasy","3","Liked Songs; Г; fuck.."
"High to Death","Car Seat Headrest","Twin Fantasy","3","Liked Songs; Г; fuck.."
"Chocolate And Mint","Duster","Duster","3","Liked Songs; fuck..; Na ja.."
"Inside Out","Duster","Stratosphere","3","Liked Songs; Г; Na ja.."
"Stars Will Fall","Duster","Capsule Losing Contact","3","Liked Songs; Г; Na ja.."
"Problems","Pinegrove","Everything So Far","3","Liked Songs; Midwest; Bbbnnnllö"
"girl","salvia palth","melanchole","3","Liked Songs; Calm Midwest; Na ja.."
"i was all over her","salvia palth","melanchole","3","Liked Songs; Na ja.."
"Sandy","Alex G","Rules","2","Liked Songs; YO"
"Things to Do","Alex G","Race","2","Liked Songs; Calm Midwest"
"Treehouse","Alex G, Emily Yacina","Treehouse","2","Liked Songs; Calm Midwest"
"Intro","Black Country, New Road","Ants From Up There","2","Liked Songs; Г"
"Track X","Black Country, New Road","For the first time","2","Liked Songs; Г"
"Track X (The Guest)","Black Country, New Road","Track X (The Guest)","2","Liked Songs; Г"
"Bodys","Car Seat Headrest","Twin Fantasy","2","Liked Songs; fuck.."
"Fill In The Blank","Car Seat Headrest","Teens Of Denial","2","Liked Songs; fuck.."
"Stop Smoking (We Love You)","Car Seat Headrest","Twin Fantasy","2","Liked Songs; fuck.."
"Twin Fantasy (Those Boys)","Car Seat Headrest","Twin Fantasy","2","Liked Songs; fuck.."
"A Different Age","Current Joys","A Different Age","2","Liked Songs"
"Kids","Current Joys","Kids","2","Liked Songs; Na ja.."
"Neon Hell - Live","Current Joys","Live at Kilby Court","2","Liked Songs; waves type playlist"
"New Flesh","Current Joys","Wild Heart","2","Liked Songs; Na ja.."
"Televisions","Current Joys","Wild Heart","2","Liked Songs; Na ja.."
"20191229","Mac DeMarco","One Wayne G","2","Liked Songs; GoDayumn"
"20201203","Mac DeMarco","One Wayne G","2","Liked Songs; Bbbnnnllö"
"For the First Time","Mac DeMarco","This Old Dog","2","Liked Songs; Bbbnnnllö"
"Heart To Heart","Mac DeMarco","Here Comes The Cowboy","2","Liked Songs; Bbbnnnllö"
"Still Beating","Mac DeMarco","This Old Dog","2","Liked Songs; Bbbnnnllö"
"Watching Him Fade Away","Mac DeMarco","This Old Dog","2","Liked Songs; Na ja.."
"Communist Daughter","Neutral Milk Hotel","In the Aeroplane Over the Sea","2","Liked Songs; Tunes"
"In the Aeroplane Over the Sea","Neutral Milk Hotel","In the Aeroplane Over the Sea","2","Liked Songs; Tunes"
"&","Pinegrove","Everything So Far","2","Liked Songs; Bbbnnnllö"
"New Friends","Pinegrove","Everything So Far","2","Liked Songs; Bbbnnnllö"
"Size of the Moon","Pinegrove","Everything So Far","2","Liked Songs; Bbbnnnllö"
"reprise","salvia palth","melanchole","2","Liked Songs; Calm Midwest"
"House","Alex G","Race","1","Ґems"
"Race","Alex G","Race","1","Г"
"Basketball Shoes","Black Country, New Road","Ants From Up There","1","Г"
"Bread Song","Black Country, New Road","Ants From Up There","1","Г"
"Chaos Space Marine","Black Country, New Road","Ants From Up There","1","Г"
"Concorde","Black Country, New Road","Ants From Up There","1","Г"
"Good Will Hunting","Black Country, New Road","Ants From Up There","1","Г"
"Haldern","Black Country, New Road","Ants From Up There","1","Г"
"Mark’s Theme","Black Country, New Road","Ants From Up There","1","Г"
"Snow Globes","Black Country, New Road","Ants From Up There","1","Г"
"Destroyed By Hippie Powers","Car Seat Headrest","Teens Of Denial","1","Ґems"
"My Boy - Twin Fantasy","Car Seat Headrest","Twin Fantasy","1","Liked Songs"
"Oh! Starving","Car Seat Headrest","Teens of Style","1","Ґems"
"Blondie","Current Joys","Wild Heart","1","Г"
"Fear","Current Joys","A Different Age","1","YO"
"New York City","Current Joys","Wild Heart","1","Liked Songs"
"The Breakfast Club (I'm Feeling Wild With You)","Current Joys","Young Love / No One Will Dance / Neon Gold","1","Liked Songs"
"Unbearable Lightness of Being","Current Joys","Me Oh My Mirror","1","Liked Songs"
"Constellations","Duster","Stratosphere","1","Liked Songs"
"The Breakup Suite","Duster","Contemporary Movement","1","Liked Songs"
"20200820 Turn My TV On","Mac DeMarco","One Wayne G","1","Г"
"Blue Boy","Mac DeMarco","Salad Days","1","Liked Songs"
"Chamber Of Reflection","Mac DeMarco","Salad Days","1","Na ja.."
"Dreams from Yesterday","Mac DeMarco","This Old Dog","1","Liked Songs"
"Freaking Out the Neighborhood","Mac DeMarco","2","1","CL"
"Is It Boy - Demo","Mac DeMarco","Old Dog Demos","1","Liked Songs"
"Moonlight on the River","Mac DeMarco","This Old Dog","1","Bbbnnnllö"
"My Kind of Woman","Mac DeMarco","2","1","CL"
"My Old Man","Mac DeMarco","This Old Dog","1","Liked Songs"
"One More Love Song","Mac DeMarco","This Old Dog","1","Liked Songs"
"Passing Out Pieces","Mac DeMarco","Salad Days","1","Ґems"
"Preoccupied","Mac DeMarco","Here Comes The Cowboy","1","Bbbnnnllö"
"[untitled]","Neutral Milk Hotel","In the Aeroplane Over the Sea","1","Liked Songs"
"Ghost","Neutral Milk Hotel","In the Aeroplane Over the Sea","1","Liked Songs"
"Holland, 1945","Neutral Milk Hotel","In the Aeroplane Over the Sea","1","Liked Songs"
"King of Carrot Flowers Pt. 1","Neutral Milk Hotel","In the Aeroplane Over the Sea","1","Liked Songs"
"King of Carrot Flowers Pts. 2 & 3","Neutral Milk Hotel","In the Aeroplane Over the Sea","1","Liked Songs"
"Oh Comely","Neutral Milk Hotel","In the Aeroplane Over the Sea","1","Liked Songs"
"The Fool","Neutral Milk Hotel","In the Aeroplane Over the Sea","1","Liked Songs"
"Two-Headed Boy","Neutral Milk Hotel","In the Aeroplane Over the Sea","1","Liked Songs"
"Two-Headed Boy Pt. 2","Neutral Milk Hotel","In the Aeroplane Over the Sea","1","Liked Songs"
"Stabilisers For Big Boys_R>O>T","Panchiko","D>E>A>T>H>M>E>T>A>L","1","Liked Songs"
"The Eyes of Ibad_R>O>T","Panchiko","D>E>A>T>H>M>E>T>A>L","1","Liked Songs"
"Alaska","Pinegrove","11:11","1","Liked Songs"
"Aphasia","Pinegrove","Cardinal (Expanded Edition)","1","Bbbnnnllö"
"Namesake","Pinegrove","Everything So Far","1","Liked Songs"
"Need","Pinegrove","Everything So Far","1","Liked Songs"
"Old Friends","Pinegrove","Cardinal (Expanded Edition)","1","Bbbnnnllö"
"Overthrown","Pinegrove","Everything So Far","1","Liked Songs"
"Rings","Pinegrove","Skylight","1","Bbbnnnllö"
"V","Pinegrove","Everything So Far","1","Liked Songs"
"i don't know anyone i am","salvia palth","melanchole","1","Liked Songs"
"i don't want to ask your father or anything","salvia palth","melanchole","1","Liked Songs"
"like you know i get old","salvia palth","melanchole","1","Liked Songs"
"madison","salvia palth","melanchole","1","Liked Songs"
"melanchole","salvia palth","melanchole","1","Liked Songs"
"needs no progress i will lie","salvia palth","melanchole","1","Liked Songs"
"post traumatic all-night-long","salvia palth","melanchole","1","Liked Songs"
"reprise (reprise)","salvia palth","melanchole","1","Liked Songs"
"stones pull out heart","salvia palth","melanchole","1","Liked Songs"
"everything is fine","Teen Suicide","dc snuff film / waste yrself","1","Liked Songs"
"haunt me (x 3)","Teen Suicide","dc snuff film / waste yrself","1","Liked Songs"
