"title","artist","album","source_count","sources"
"Dreams - 2004 Remaster","Fleetwood Mac","Rumours (Super Deluxe)","7","Liked Songs; %^*+; SORRY SORRY SPRRYYY; Fl; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"Everywhere - 2017 Remaster","Fleetwood Mac","Tango In the Night (Deluxe Edition)","7","Liked Songs; %^*+; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia; Mmmmmm; na klar"
"Landslide","Fleetwood Mac","Fleetwood Mac","5","Liked Songs; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia; Whaaaa"
"All Along the Watchtower","Jimi Hendrix","Electric Ladyland","5","Liked Songs; Hell ya; %^*+; Rockin n rollin; Mmmmmm"
"Listen Up - Remastered","Oasis","Definitely Maybe (Remastered)","5","Liked Songs; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"Sad Song","Oasis","Definitely Maybe","5","Liked Songs; %^*+; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"Back In Black","AC/DC","Back In Black","4","Liked Songs; Rockin n rollin; AC FUCKING DC; Mmmmmm"
"Demon Fire","AC/DC","POWER UP","4","Liked Songs; Rockin n rollin; AC FUCKING DC; Mmmmmm"
"Have a Drink on Me","AC/DC","Back In Black","4","Liked Songs; Rockin n rollin; AC FUCKING DC; Mmmmmm"
"It's a Long Way to the Top (If You Wanna Rock 'N' Roll)","AC/DC","High Voltage","4","Liked Songs; Rockin n rollin; AC FUCKING DC; Mmmmmm"
"Moneytalks","AC/DC","The Razors Edge","4","Liked Songs; Rockin n rollin; AC FUCKING DC; Mmmmmm"
"Rock N Roll Train","AC/DC","Black Ice","4","Liked Songs; Rockin n rollin; AC FUCKING DC; Mmmmmm"
"T.N.T.","AC/DC","High Voltage","4","Liked Songs; Rockin n rollin; AC FUCKING DC; Mmmmmm"
"Who Made Who","AC/DC","Who Made Who","4","Liked Songs; Rockin n rollin; AC FUCKING DC; Mmmmmm"
"Paranoid - 2009 Remaster","Black Sabbath","Paranoid","4","Liked Songs; (:); Rockin n rollin; Mmmmmm"
"Girl from the North Country","Bob Dylan","The Freewheelin' Bob Dylan","4","Liked Songs; Hell ya; boB; (:)"
"Like a Rolling Stone","Bob Dylan","Highway 61 Revisited","4","Liked Songs; %^*+; boB; My playlist #80"
"Song to Woody","Bob Dylan","Bob Dylan","4","Liked Songs; Hell ya; boB; (:)"
"Gypsy","Fleetwood Mac","Greatest Hits","4","SORRY SORRY SPRRYYY; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"The Chain - 2004 Remaster","Fleetwood Mac","Rumours (Super Deluxe)","4","Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia; Mmmmmm"
"Purple Haze","Jimi Hendrix","Are You Experienced","4","Liked Songs; Hell ya; Rockin n rollin; Mmmmmm"
"Live Forever","Oasis","Definitely Maybe","4","Liked Songs; %^*+; SORRY SORRY SPRRYYY; na klar"
"Wish You Were Here","Pink Floyd","A Collection Of Great Dance Songs","4","Liked Songs; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"Highway to Hell","AC/DC","Highway to Hell","3","Liked Songs; AC FUCKING DC; Mmmmmm"
"If You Want Blood (You've Got It)","AC/DC","Highway to Hell","3","Liked Songs; Rockin n rollin; AC FUCKING DC"
"Let There Be Rock","AC/DC","Let There Be Rock","3","Liked Songs; Rockin n rollin; AC FUCKING DC"
"Riff Raff","AC/DC","Powerage","3","Liked Songs; Rockin n rollin; AC FUCKING DC"
"Rocker - Live at the Apollo Theatre, Glasgow, Scotland - April 1978","AC/DC","If You Want Blood You've Got It (Live)","3","Liked Songs; Rockin n rollin; AC FUCKING DC"
"Shot In The Dark","AC/DC","POWER UP","3","Liked Songs; Rockin n rollin; AC FUCKING DC"
"Thunderstruck","AC/DC","The Razors Edge","3","Liked Songs; Rockin n rollin; AC FUCKING DC"
"Touch Too Much","AC/DC","Highway to Hell","3","Liked Songs; Rockin n rollin; AC FUCKING DC"
"What's Next to the Moon","AC/DC","Powerage","3","Liked Songs; Rockin n rollin; AC FUCKING DC"
"Whole Lotta Rosie","AC/DC","Let There Be Rock","3","Liked Songs; Rockin n rollin; AC FUCKING DC"
"Blowin' in the Wind","Bob Dylan","The Freewheelin' Bob Dylan","3","Liked Songs; boB; (:)"
"Don't Think Twice, It's All Right","Bob Dylan","The Freewheelin' Bob Dylan","3","Liked Songs; boB; (:)"
"Hurricane","Bob Dylan","Desire","3","Liked Songs; boB; (:)"
"Jokerman","Bob Dylan","Infidels","3","Liked Songs; boB; (:)"
"Knockin' On Heaven's Door","Bob Dylan","Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture)","3","Liked Songs; %^*+; boB"
"Hypnotized","Fleetwood Mac","Mystery to Me","3","Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"Never Going Back Again - 2004 Remaster","Fleetwood Mac","Rumours (Super Deluxe)","3","Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"Rhiannon","Fleetwood Mac","Fleetwood Mac","3","Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"Thrown Down","Fleetwood Mac","Say You Will","3","Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"Don't Look Back in Anger - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","3","Liked Songs; %^*+; SORRY SORRY SPRRYYY"
"Slide Away - Remastered","Oasis","Definitely Maybe (Remastered) [Deluxe Edition Remastered]","3","Liked Songs; SORRY SORRY SPRRYYY; Ґems"
"Wonderwall - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","3","Liked Songs; SORRY SORRY SPRRYYY; Mmmmmm"
"Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remaster","Pink Floyd","Wish You Were Here (Remastered Version)","3","Liked Songs; %^*+; …"
"Wish You Were Here - 2011 Remaster","Pink Floyd","Wish You Were Here (Remastered Version)","3","Liked Songs; %^*+; …"
"Dirty Deeds Done Dirt Cheap","AC/DC","Dirty Deeds Done Dirt Cheap","2","Rockin n rollin; AC FUCKING DC"
"Givin the Dog a Bone","AC/DC","Back In Black","2","Liked Songs; AC FUCKING DC"
"Hells Bells","AC/DC","Back In Black","2","Rockin n rollin; AC FUCKING DC"
"Rock 'N' Roll Damnation","AC/DC","Powerage","2","Liked Songs; AC FUCKING DC"
"Shoot to Thrill","AC/DC","Back In Black","2","Rockin n rollin; AC FUCKING DC"
"Shot Down in Flames","AC/DC","Highway to Hell","2","Liked Songs; AC FUCKING DC"
"You Shook Me All Night Long","AC/DC","Back In Black","2","Liked Songs; AC FUCKING DC"
"Children of the Grave - 2009 Remaster","Black Sabbath","Master of Reality","2","Liked Songs; Rockin n rollin"
"Heaven and Hell","Black Sabbath","Heaven & Hell","2","Liked Songs; Rockin n rollin"
"Iron Man","Black Sabbath","Paranoid (2009 Remastered Version)","2","Liked Songs; Rockin n rollin"
"Iron Man - 2009 Remaster","Black Sabbath","Paranoid","2","Liked Songs; Rockin n rollin"
"Paranoid","Black Sabbath","Paranoid (2009 Remastered Version)","2","Liked Songs; Rockin n rollin"
"War Pigs","Black Sabbath","Paranoid (2009 Remastered Version)","2","Liked Songs; Rockin n rollin"
"A Hard Rain's A-Gonna Fall","Bob Dylan","The Freewheelin' Bob Dylan","2","Liked Songs; boB"
"All Along the Watchtower","Bob Dylan","John Wesley Harding","2","Liked Songs; boB"
"Ballad of a Thin Man","Bob Dylan","Highway 61 Revisited","2","Liked Songs; boB"
"Dignity","Bob Dylan","Greatest Hits Volume 3","2","Liked Songs; boB"
"Every Grain of Sand","Bob Dylan","Shot Of Love","2","Liked Songs; boB"
"Forever Young - Slow Version","Bob Dylan","Planet Waves","2","Liked Songs; boB"
"Gotta Serve Somebody","Bob Dylan","Slow Train Coming","2","Liked Songs; boB"
"Highway 61 Revisited","Bob Dylan","Highway 61 Revisited","2","Liked Songs; boB"
"I Want You","Bob Dylan","Blonde On Blonde","2","Liked Songs; boB"
"It's All Over Now, Baby Blue","Bob Dylan","Bringing It All Back Home","2","Liked Songs; boB"
"It's Alright, Ma (I'm Only Bleeding)","Bob Dylan","Bringing It All Back Home","2","Liked Songs; boB"
"Lay, Lady, Lay","Bob Dylan","Nashville Skyline","2","Liked Songs; boB"
"Maggie's Farm","Bob Dylan","Bringing It All Back Home","2","Liked Songs; boB"
"Most of the Time","Bob Dylan","Oh Mercy","2","Liked Songs; boB"
"Mr. Tambourine Man","Bob Dylan","Bringing It All Back Home","2","Liked Songs; boB"
"My Back Pages","Bob Dylan","Another Side Of Bob Dylan","2","Liked Songs; boB"
"Not Dark Yet","Bob Dylan","Time Out Of Mind","2","Liked Songs; boB"
"Positively 4th Street","Bob Dylan","Bob Dylan's Greatest Hits","2","Liked Songs; boB"
"Queen Jane Approximately","Bob Dylan","Highway 61 Revisited","2","Liked Songs; boB"
"Ring Them Bells","Bob Dylan","Oh Mercy","2","Liked Songs; boB"
"Simple Twist of Fate","Bob Dylan","Blood On The Tracks","2","Liked Songs; boB"
"The Man in Me","Bob Dylan","New Morning","2","Liked Songs; boB"
"Tomorrow Is a Long Time - Live at Town Hall, New York, NY - April 1963","Bob Dylan","Bob Dylan's Greatest Hits Volume II","2","Liked Songs; boB"
"It Ain't Me, Babe - Live at Philharmonic Hall, New York, NY - October 1964","Bob Dylan, Joan Baez","The Bootleg Volume 6: Bob Dylan Live 1964 - Concert At Philharmonic Hall","2","Liked Songs; boB"
"Girl from the North Country","Bob Dylan, Johnny Cash","Nashville Skyline","2","Liked Songs; boB"
"Big Love - 2017 Remaster","Fleetwood Mac","Tango In the Night (Deluxe Edition)","2","SORRY SORRY SPRRYYY; na klar"
"You Make Loving Fun - 2004 Remaster","Fleetwood Mac","Rumours","2","SORRY SORRY SPRRYYY; na klar"
"Angel","Jimi Hendrix","The Cry of Love","2","Liked Songs; Hell ya"
"Bold as Love","Jimi Hendrix","Axis: Bold As Love","2","Liked Songs; Hell ya"
"Castles Made of Sand","Jimi Hendrix","Axis: Bold As Love","2","Liked Songs; Hell ya"
"Like A Rolling Stone - Live At Monterey","Jimi Hendrix","Live At Monterey","2","Liked Songs; Hell ya"
"Rainy Day, Dream Away","Jimi Hendrix","Electric Ladyland","2","Liked Songs; Hell ya"
"The Wind Cries Mary","Jimi Hendrix","Are You Experienced","2","Liked Songs; Hell ya"
"Voodoo Child (Slight Return)","Jimi Hendrix","Electric Ladyland","2","Liked Songs; Hell ya"
"Babe I'm Gonna Leave You - Remaster","Led Zeppelin","Led Zeppelin (Remaster)","2","Liked Songs"
"Rock and Roll - Remaster","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","2","Liked Songs; Rockin n rollin"
"Stairway to Heaven - Remaster","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","2","Liked Songs; %^*+"
"When the Levee Breaks - Remaster","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","2","Liked Songs; Hell ya"
"Whole Lotta Love - 1990 Remaster","Led Zeppelin","Led Zeppelin II (1994 Remaster)","2","Liked Songs; Rockin n rollin"
"Acquiesce - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","2","Liked Songs; Rockin n rollin"
"Be Here Now - Remastered","Oasis","Be Here Now (Deluxe Remastered Edition)","2","Liked Songs; %^*+"
"Cast No Shadow - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","2","Liked Songs; %^*+"
"Champagne Supernova","Oasis","(What's The Story) Morning Glory?","2","Liked Songs; %^*+"
"Hello - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","2","Liked Songs; Rockin n rollin"
"Live Forever - Remastered","Oasis","Definitely Maybe (Remastered)","2","Liked Songs; %^*+"
"Slide Away","Oasis","Definitely Maybe","2","Liked Songs; %^*+"
"Stop Crying Your Heart Out","Oasis","Heathen Chemistry","2","Liked Songs; %^*+"
"Supersonic - Remastered","Oasis","Definitely Maybe (Remastered)","2","Liked Songs; SORRY SORRY SPRRYYY"
"The Masterplan - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","2","Liked Songs; %^*+"
"Breathe (In The Air) - 2011 Remastered Version","Pink Floyd","The Dark Side Of The Moon (2011 Remastered Version)","2","Liked Songs; %^*+"
"Have a Cigar","Pink Floyd","Wish You Were Here","2","Liked Songs; %^*+"
"Shine On You Crazy Diamond, Pts. 6-9 - 2011 Remaster","Pink Floyd","Wish You Were Here (Remastered Version)","2","Liked Songs; %^*+"
"Beast Of Burden - Remastered 1994","The Rolling Stones","Some Girls","2","Liked Songs; Hell ya"
"Gimme Shelter","The Rolling Stones","Let It Bleed","2","Liked Songs; Hell ya"
"Jigsaw Puzzle - 50th Anniversary Edition","The Rolling Stones","Beggars Banquet (50th Anniversary Edition)","2","Liked Songs; boB"
"You Can't Always Get What You Want","The Rolling Stones","Let It Bleed","2","Liked Songs; Hell ya"
"Anything Goes","AC/DC","Black Ice","1","AC FUCKING DC"
"Are You Ready","AC/DC","The Razors Edge","1","AC FUCKING DC"
"Back In Black - Live - 1991","AC/DC","Live","1","AC FUCKING DC"
"Ballbreaker","AC/DC","Ballbreaker","1","AC FUCKING DC"
"Big Balls","AC/DC","Dirty Deeds Done Dirt Cheap","1","AC FUCKING DC"
"Big Gun","AC/DC","Backtracks","1","AC FUCKING DC"
"Big Jack","AC/DC","Black Ice","1","AC FUCKING DC"
"Big Jack - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009","AC/DC","Live at River Plate","1","AC FUCKING DC"
"Black Ice","AC/DC","Black Ice","1","AC FUCKING DC"
"Boogie Man","AC/DC","Ballbreaker","1","AC FUCKING DC"
"Borrowed Time","AC/DC","Backtracks","1","AC FUCKING DC"
"Chase the Ace","AC/DC","Who Made Who","1","AC FUCKING DC"
"Cover You in Oil","AC/DC","Ballbreaker","1","AC FUCKING DC"
"Danger","AC/DC","Fly On the Wall","1","AC FUCKING DC"
"Dirty Deeds Done Dirt Cheap - Live - 1991","AC/DC","Live","1","AC FUCKING DC"
"Dog Eat Dog","AC/DC","Let There Be Rock","1","AC FUCKING DC"
"Dog Eat Dog - Live Apollo Theatre, Glasgow, Apr. 30, 1978","AC/DC","Backtracks","1","AC FUCKING DC"
"Emission Control","AC/DC","Rock or Bust","1","AC FUCKING DC"
"Flick of the Switch","AC/DC","Flick of the Switch","1","AC FUCKING DC"
"Fly on the Wall","AC/DC","Fly On the Wall","1","AC FUCKING DC"
"For Those About to Rock (We Salute You)","AC/DC","For Those About to Rock (We Salute You)","1","AC FUCKING DC"
"For Those About to Rock (We Salute You) - Live Tushino Airfield, Moscow, Sept. 28, 1991","AC/DC","Backtracks","1","AC FUCKING DC"
"Girls Got Rhythm","AC/DC","Highway to Hell","1","AC FUCKING DC"
"Gone Shootin'","AC/DC","Powerage","1","AC FUCKING DC"
"Guns for Hire","AC/DC","Flick of the Switch","1","AC FUCKING DC"
"Guns for Hire - Live Joe Louis Arena, Detroit MI, Nov. 18, 1983","AC/DC","Backtracks","1","AC FUCKING DC"
"Hail Caesar","AC/DC","Ballbreaker","1","AC FUCKING DC"
"Hard as a Rock","AC/DC","Ballbreaker","1","AC FUCKING DC"
"Heatseeker","AC/DC","Blow Up Your Video","1","AC FUCKING DC"
"Heatseeker - Live - 1991","AC/DC","Live","1","AC FUCKING DC"
"Hell Ain't a Bad Place to Be","AC/DC","Let There Be Rock","1","AC FUCKING DC"
"Hell Ain't a Bad Place to Be - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009","AC/DC","Live at River Plate","1","AC FUCKING DC"
"Hells Bells - Live - 1991","AC/DC","Live","1","AC FUCKING DC"
"Hells Bells - Live Donington Park, Aug. 17, 1991","AC/DC","Backtracks","1","AC FUCKING DC"
"High Voltage","AC/DC","High Voltage","1","AC FUCKING DC"
"Highway to Hell - Live at the Pavillion de Paris, Paris, France - December 1979","AC/DC","Bonfire","1","AC FUCKING DC"
"Highway to Hell - Live Tushino Airfield, Moscow, Sept. 28, 1991","AC/DC","Backtracks","1","AC FUCKING DC"
"Inject the Venom","AC/DC","For Those About to Rock (We Salute You)","1","AC FUCKING DC"
"Jailbreak","AC/DC","'74 Jailbreak","1","AC FUCKING DC"
"Let Me Put My Love Into You","AC/DC","Back In Black","1","AC FUCKING DC"
"Let There Be Rock - Live at the Apollo Theatre, Glasgow, Scotland - April 1978","AC/DC","If You Want Blood You've Got It (Live)","1","AC FUCKING DC"
"Let There Be Rock - Live at the Pavillion de Paris, Paris, France - December 1979","AC/DC","Bonfire","1","AC FUCKING DC"
"Let's Get It Up","AC/DC","For Those About to Rock (We Salute You)","1","AC FUCKING DC"
"Mistress for Christmas","AC/DC","The Razors Edge","1","AC FUCKING DC"
"Moneytalks - Live - 1991","AC/DC","Live","1","AC FUCKING DC"
"Nervous Shakedown","AC/DC","Flick of the Switch","1","AC FUCKING DC"
"Play Ball","AC/DC","Rock or Bust","1","AC FUCKING DC"
"Problem Child","AC/DC","Dirty Deeds Done Dirt Cheap","1","AC FUCKING DC"
"Realize","AC/DC","POWER UP","1","AC FUCKING DC"
"Ride On","AC/DC","Dirty Deeds Done Dirt Cheap","1","AC FUCKING DC"
"Rising Power","AC/DC","Flick of the Switch","1","AC FUCKING DC"
"Rock 'N' Roll Damnation - Live at the Apollo Theatre, Glasgow, Scotland - April 1978","AC/DC","If You Want Blood You've Got It (Live)","1","AC FUCKING DC"
"Rock and Roll Ain't Noise Pollution","AC/DC","Back In Black","1","AC FUCKING DC"
"Rock and Roll Ain't Noise Pollution - Live Joe Louis Arena, Detroit MI, Nov. 18, 1983","AC/DC","Backtracks","1","AC FUCKING DC"
"Rock N Roll Train - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009","AC/DC","Live at River Plate","1","AC FUCKING DC"
"Rock or Bust","AC/DC","Rock or Bust","1","AC FUCKING DC"
"Rock the Blues Away","AC/DC","Rock or Bust","1","AC FUCKING DC"
"Rock the House","AC/DC","Rock or Bust","1","AC FUCKING DC"
"Safe in New York City","AC/DC","Stiff Upper Lip","1","AC FUCKING DC"
"Satellite Blues","AC/DC","Stiff Upper Lip","1","AC FUCKING DC"
"Shake a Leg","AC/DC","Back In Black","1","AC FUCKING DC"
"Shake Your Foundations","AC/DC","Fly On the Wall","1","AC FUCKING DC"
"Shot Down in Flames - Live at the Pavillion de Paris, Paris, France - December 1979","AC/DC","Bonfire","1","AC FUCKING DC"
"Show Business","AC/DC","'74 Jailbreak","1","AC FUCKING DC"
"Sin City","AC/DC","Powerage","1","AC FUCKING DC"
"Sin City - Live from ""Midnight Special"" - 1978","AC/DC","Bonfire","1","AC FUCKING DC"
"Sink the Pink","AC/DC","Fly On the Wall","1","AC FUCKING DC"
"Stiff Upper Lip","AC/DC","Stiff Upper Lip","1","AC FUCKING DC"
"T.N.T. - Live Capital Center, Landover MD, Dec. 21, 1981","AC/DC","Backtracks","1","AC FUCKING DC"
"That's the Way I Wanna Rock 'N' Roll","AC/DC","Blow Up Your Video","1","AC FUCKING DC"
"The Jack","AC/DC","High Voltage","1","AC FUCKING DC"
"The Jack - Live at the Apollo Theatre, Glasgow, Scotland - April 1978","AC/DC","If You Want Blood You've Got It (Live)","1","AC FUCKING DC"
"This House Is on Fire - Live Joe Louis Arena, Detroit MI, Nov. 18, 1983","AC/DC","Backtracks","1","AC FUCKING DC"
"Thunderstruck - Live - 1991","AC/DC","Live","1","AC FUCKING DC"
"War Machine","AC/DC","Black Ice","1","AC FUCKING DC"
"What Do You Do for Money Honey","AC/DC","Back In Black","1","AC FUCKING DC"
"Whole Lotta Rosie - Live at the Pavillion de Paris, Paris, France - December 1979","AC/DC","Bonfire","1","AC FUCKING DC"
"Witch's Spell","AC/DC","POWER UP","1","AC FUCKING DC"
"You Shook Me All Night Long - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009","AC/DC","Live at River Plate","1","AC FUCKING DC"
"You Shook Me All Night Long - Live Plaza De Toros De Las Ventas, Madrid, July 10, 1996","AC/DC","Backtracks","1","AC FUCKING DC"
"Black Sabbath - 2009 Remaster","Black Sabbath","Black Sabbath","1","Liked Songs"
"Iron Man (2012 Remaster)","Black Sabbath","Paranoid","1","Liked Songs"
"N.I.B.","Black Sabbath","Black Sabbath (2009 Remastered Version)","1","Liked Songs"
"N.I.B. - 2009 Remaster","Black Sabbath","Black Sabbath","1","Liked Songs"
"War Pigs - 2009 Remaster","Black Sabbath","Paranoid","1","Liked Songs"
"It Ain't Me Babe","Bob Dylan","Another Side Of Bob Dylan","1","Liked Songs"
"Go Your Own Way - 2004 Remaster","Fleetwood Mac","Rumours","1","Mmmmmm"
"Isn't It Midnight - 2017 Remaster","Fleetwood Mac","Tango In the Night (Deluxe Edition)","1","SORRY SORRY SPRRYYY"
"Only over You - 2016 Remaster","Fleetwood Mac","Mirage (Deluxe Edition)","1","Ґems"
"Sara - 2015 Remaster","Fleetwood Mac","Tusk (Deluxe Edition)","1","na klar"
"Seven Wonders - 2017 Remaster","Fleetwood Mac","Tango In the Night (Deluxe Edition)","1","na klar"
"Silver Girl","Fleetwood Mac","Say You Will","1","Ґems"
"Sisters of the Moon - 2015 Remaster","Fleetwood Mac","Tusk (Deluxe Edition)","1","Ґems"
"Hey Joe","Jimi Hendrix","Are You Experienced","1","Liked Songs"
"Little Wing","Jimi Hendrix","Axis: Bold As Love","1","Liked Songs"
"All My Love - Remaster","Led Zeppelin","In Through the out Door (Remaster)","1","Liked Songs"
"Babe I'm Gonna Leave You - 1990 Remaster","Led Zeppelin","Led Zeppelin","1","%^*+"
"Black Dog - Remaster","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","1","Liked Songs"
"Black Mountain Side - Remaster","Led Zeppelin","Led Zeppelin (Remaster)","1","Liked Songs"
"Bring It on Home - Remaster","Led Zeppelin","Led Zeppelin II (Remaster)","1","Liked Songs"
