"title","artist","album","source_count","sources"
"Everything I Am","Kanye West, DJ Premier","Graduation","10","Liked Songs; Kanye ye; K¥_00; m's top tracks; Tunes"
"I Wonder","Kanye West","Graduation","9","Liked Songs; Kanye ye; K¥_00; m's top tracks; Tunes"
"Through The Wire","Kanye West","The College Dropout","7","Liked Songs; Kanye ye; K¥_00; Joo; Gym; Tunes"
"Violent Crimes","Kanye West","ye","7","Liked Songs; Kanye ye; K¥_00; m's top tracks; Tunes; Na ja.."
"Waves","Kanye West","The Life Of Pablo","7","Liked Songs; Kanye ye; K¥_00; марян × talia; Fashion killa; Gym; Tunes"
"Can't Tell Me Nothing","Kanye West","Graduation","6","Liked Songs; Kanye ye; K¥_00; Gym; Tunes"
"Come to Life","Kanye West","Donda","6","Liked Songs; Kanye ye; K¥_00; m's top tracks; Tunes; Na ja.."
"Father Stretch My Hands Pt. 1","Kanye West","The Life Of Pablo","6","Liked Songs; Kanye ye; K¥_00; Gym; Tunes"
"Follow God","Kanye West","JESUS IS KING","6","Liked Songs; Kanye ye; K¥_00; Gym; Tunes"
"I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino)","A$AP Rocky, Imogen Heap, Clams Casino","I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino)","5","Liked Songs; Fashion killa; Joo; waves type playlist; Tunes"
"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky, Skepta","TESTING","5","Liked Songs; Fashion killa; Joo; Gym; Tunes"
"Relax My Eyes","ANOTR, Abel Balder","Relax My Eyes","5","Liked Songs; Qwe; Chillout; Turn it up"
"Big Brother","Kanye West","Graduation","5","Liked Songs; Kanye ye; K¥_00; Tunes; Na ja.."
"Bound 2","Kanye West","Yeezus","5","Liked Songs; Kanye ye; K¥_00; m's top tracks; Tunes"
"Family Business","Kanye West","The College Dropout","5","Liked Songs; Kanye ye; K¥_00; m's top tracks; Tunes"
"Hey Mama","Kanye West","Late Registration","5","Liked Songs; Kanye ye; K¥_00; m's top tracks; Tunes"
"Hold My Liquor","Kanye West","Yeezus","5","Liked Songs; Kanye ye; K¥_00; Turn it up"
"No Mistakes","Kanye West","ye","5","Liked Songs; Kanye ye; K¥_00; Gym; Tunes"
"Pt. 2","Kanye West","The Life Of Pablo","5","Liked Songs; Kanye ye; K¥_00; Gym; Tunes"
"Pure Souls","Kanye West","Donda (Deluxe)","5","Liked Songs; Kanye ye; K¥_00; Tunes"
"Roses","Kanye West","Late Registration","5","Liked Songs; Kanye ye; K¥_00; марян × talia; Joo"
"Ultralight Beam","Kanye West","The Life Of Pablo","5","Liked Songs; Kanye ye; K¥_00; Tunes"
"Homecoming","Kanye West, Chris Martin","Graduation","5","Liked Songs; Kanye ye; K¥_00; Tunes"
"Never Let Me Down","Kanye West, JAŸ-Z, J. Ivy","The College Dropout","5","Liked Songs; Kanye ye; K¥_00; Joo; Tunes"
"Touch The Sky","Kanye West, Lupe Fiasco","Late Registration","5","Liked Songs; Kanye ye; K¥_00; Joo; Gym"
"Ghost Town","Kanye West, PARTYNEXTDOOR","ye","5","Liked Songs; Kanye ye; K¥_00; Tunes"
"Runaway","Kanye West, Pusha T","My Beautiful Dark Twisted Fantasy","5","Liked Songs; Kanye ye; K¥_00; m's top tracks; Tunes"
"Noid","Tyler, The Creator","CHROMAKOPIA","5","Liked Songs; %^*+; Fashion killa"
"St. Chroma (feat. Daniel Caesar)","Tyler, The Creator, Daniel Caesar","CHROMAKOPIA","5","Liked Songs; Fashion killa; waves type playlist; less goo; Tunes"
"Roundabout - 2003 Remaster","Yes","Fragile (Deluxe Edition)","5","Liked Songs; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia; Mmmmmm"
"VULTURES","¥$, Kanye West, Ty Dolla $ign, Bump J","VULTURES","4","Liked Songs; Kanye ye; K¥_00; Tunes"
"LVL","A$AP Rocky","LONG.LIVE.A$AP (Deluxe Version)","4","Liked Songs; Fashion killa; Joo; waves type playlist"
"Sundress","A$AP Rocky","Sundress","4","Liked Songs; Fashion killa; Joo; Tunes"
"I Gotta Feeling","Black Eyed Peas","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]","4","Liked Songs; Fl; less goo; Turn it up"
"Yellow","Coldplay","Parachutes","4","Liked Songs; CL; m's top tracks; Na ja.."
"Falling Back","Drake","Honestly, Nevermind","4","Liked Songs; Chillout; Turn it up"
"Massive","Drake","Honestly, Nevermind","4","Liked Songs; Qwe; Chillout; Turn it up"
"Middle of the Ocean","Drake","Her Loss","4","Liked Songs; Gym; Tunes"
