"title","artist","album","source_count","sources"
"New Tank","Playboi Carti","Whole Lotta Red","5","Liked Songs; CBC_00; ___; K¥_00; Opium"
"OPM BABI","Playboi Carti","MUSIC - SORRY 4 DA WAIT","5","Liked Songs; CBC_00; ___; K¥_00"
"POP OUT","Playboi Carti","MUSIC - SORRY 4 DA WAIT","5","Liked Songs; CBC_00; ___; K¥_00"
"Rockstar Made","Playboi Carti","Whole Lotta Red","5","CBC_00; ___; K¥_00; Opium; Gym"
"Stop Breathing","Playboi Carti","Whole Lotta Red","5","Liked Songs; CBC_00; ___; K¥_00; Opium"
"Vamp Anthem","Playboi Carti","Whole Lotta Red","5","Liked Songs; CBC_00; ___; K¥_00; Opium"
"gold","2hollis","gold","4","Liked Songs; <2; ___; Opium"
"jeans","2hollis","jeans","4","Liked Songs; <2; ___; Opium"
"trauma","2hollis","trauma","4","Liked Songs; <2; ___; Opium"
"COCAINE NOSE","Playboi Carti","MUSIC - SORRY 4 DA WAIT","4","Liked Songs; CBC_00; K¥_00"
"Die4Guy","Playboi Carti","Whole Lotta Red","4","Liked Songs; CBC_00; K¥_00; Opium"
"EVIL J0RDAN","Playboi Carti","MUSIC - SORRY 4 DA WAIT","4","Liked Songs; CBC_00; K¥_00"
"F33l Lik3 Dyin","Playboi Carti","Whole Lotta Red","4","Liked Songs; CBC_00; K¥_00; Opium"
"HBA","Playboi Carti","MUSIC - SORRY 4 DA WAIT","4","Liked Songs; CBC_00; K¥_00"
"ILoveUIHateU","Playboi Carti","Whole Lotta Red","4","Liked Songs; Opium; m's top tracks; Tunes"
"JumpOutTheHouse","Playboi Carti","Whole Lotta Red","4","CBC_00; ___; K¥_00; Opium"
"No Sl33p","Playboi Carti","Whole Lotta Red","4","Liked Songs; CBC_00; K¥_00; Opium"
"On That Time","Playboi Carti","Whole Lotta Red","4","Liked Songs; CBC_00; K¥_00; Opium"
"CRUSH (with Travis Scott)","Playboi Carti, Travis Scott","MUSIC - SORRY 4 DA WAIT","4","Liked Songs; CBC_00; K¥_00"
"FIELD TRIP","¥$, Playboi Carti, Don Toliver, Kodak Black","FIELD TRIP","3","Liked Songs; Kanye ye; K¥_00"
"all 2s","2hollis","2","3","Liked Songs; <2; Opium"
"sidekick","2hollis","star","3","Liked Songs; <2; ___"
"IDGAF (feat. Yeat)","Drake, Yeat","For All The Dogs","3","Liked Songs; Tunes"
"Codeine Crazy","Future","Monster","3","Liked Songs; %^*+; Fashion killa"
"Solo","Future","HNDRXX","3","Liked Songs; waves type playlist; Tunes"
"Life Is Good (feat. Drake)","Future, Drake","Life Is Good (feat. Drake)","3","Liked Songs; Gym; Tunes"
"WAIT FOR U (feat. Drake & Tems)","Future, Drake, Tems","I NEVER LIKED YOU","3","Liked Songs; Gym; Tunes"
"Fighting My Demons","Ken Carson","A Great Chaos","3","Liked Songs; ___; Opium"
