"title","artist","album","source_count","sources"
"Starman - 2012 Remaster","David Bowie","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","8","Liked Songs; %^*+; (:); My playlist #80; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia; Г"
"Space Oddity - 2015 Remaster","David Bowie","David Bowie (aka Space Oddity) [2015 Remaster]","7","Liked Songs; %^*+; (:); My playlist #80; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"Dreams - 2004 Remaster","Fleetwood Mac","Rumours (Super Deluxe)","7","Liked Songs; %^*+; SORRY SORRY SPRRYYY; Fl; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"Everywhere - 2017 Remaster","Fleetwood Mac","Tango In the Night (Deluxe Edition)","7","Liked Songs; %^*+; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia; Mmmmmm; na klar"
"Call It Fate, Call It Karma","The Strokes","Comedown Machine","7","Liked Songs; YO; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia; fuck..; Na ja.."
"September","Earth, Wind & Fire","September (sped up + slowed)","5","Liked Songs; Fl; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"Landslide","Fleetwood Mac","Fleetwood Mac","5","Liked Songs; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia; Whaaaa"
"Listen Up - Remastered","Oasis","Definitely Maybe (Remastered)","5","Liked Songs; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"Sad Song","Oasis","Definitely Maybe","5","Liked Songs; %^*+; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"Apocalypse Dreams","Tame Impala","Lonerism","5","Liked Songs; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia; Ґems"
"Here, There And Everywhere - Remastered 2009","The Beatles","Revolver (Remastered)","5","Liked Songs; %^*+; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"Something - Remastered 2009","The Beatles","Abbey Road (Remastered)","5","Liked Songs; %^*+; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"Cigarette Daydreams","Cage The Elephant","Melophobia","4","Liked Songs; Fl; CL; Tunes"
"""Heroes"" - 2017 Remaster","David Bowie","""Heroes"" (2017 Remaster)","4","Liked Songs; %^*+; (:); Mmmmmm"
"Star - 2012 Remaster","David Bowie","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","4","Liked Songs; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"Gypsy","Fleetwood Mac","Greatest Hits","4","SORRY SORRY SPRRYYY; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
